date,home_team,home_score,away_team,away_score,home_ranked,away_ranked
2022-08-27,Western Kentucky,38,Austin Peay,27,true,false
2022-08-27,Northwestern,31,Nebraska,28,true,true
2022-08-27,UNLV,52,Idaho State,21,true,false
2022-08-27,Utah State,31,UConn,20,true,true
2022-08-27,Illinois,38,Wyoming,6,true,true
2022-08-27,Florida State,47,Duquesne,7,true,false
2022-08-27,Florida Atlantic,43,Charlotte,13,true,true
2022-08-28,North Carolina,56,Florida A&M,24,true,false
2022-08-28,UTEP,13,North Texas,31,true,true
2022-08-28,New Mexico State,12,Nevada,23,true,true
2022-08-28,Hawai'i,10,Vanderbilt,63,true,true
2022-09-01,Akron,30,Saint Francis,23,true,false
2022-09-01,Tennessee,59,Ball State,10,true,true
2022-09-01,Toledo,37,Long Island University,0,true,false
2022-09-01,Florida International,38,Bryant,37,true,false
2022-09-01,UCF,56,South Carolina State,10,true,false
2022-09-01,Oklahoma State,58,Central Michigan,44,true,true
2022-09-01,Pittsburgh,38,West Virginia,31,true,true
2022-09-01,Wake Forest,44,VMI,10,true,false
2022-09-02,Missouri,52,Louisiana Tech,24,true,true
2022-09-02,Purdue,31,Penn State,35,true,true
2022-09-02,Northern Illinois,34,Eastern Illinois,27,true,false
2022-09-02,UAB,59,Alabama A&M,0,true,false
2022-09-02,Minnesota,38,New Mexico State,0,true,true
2022-09-02,Arizona State,40,Northern Arizona,3,true,false
2022-09-02,Fresno State,35,Cal Poly,7,true,false
2022-09-02,San José State,21,Portland State,17,true,false
2022-09-02,Michigan State,35,Western Michigan,13,true,true
2022-09-02,Charlotte,24,William & Mary,41,true,false
2022-09-02,Old Dominion,20,Virginia Tech,17,true,true
2022-09-02,Eastern Michigan,42,Eastern Kentucky,34,true,false
2022-09-02,Duke,30,Temple,0,true,true
2022-09-03,Kansas,56,Tennessee Tech,10,true,false
2022-09-03,Indiana,23,Illinois,20,true,true
2022-09-03,Colorado,13,TCU,38,true,true
2022-09-03,Boston College,21,Rutgers,22,true,true
2022-09-03,Maryland,31,Buffalo,10,true,true
2022-09-03,App State,61,North Carolina,63,true,true
2022-09-03,Navy,7,Delaware,14,true,false
2022-09-03,Iowa,7,South Dakota State,3,true,false
