date,home_team,home_score,away_team,away_score,home_ranked,away_ranked
2025-08-23,Kansas State,21,Iowa State,24,true,true
2025-08-23,UNLV,38,Idaho State,31,true,false
2025-08-23,Kansas,31,Fresno State,7,true,true
2025-08-23,Western Kentucky,41,Sam Houston,24,true,true
2025-08-23,Hawai'i,23,Stanford,20,true,true
2025-08-28,South Florida,34,Boise State,7,true,true
2025-08-28,Bowling Green,26,Lafayette,7,true,false
2025-08-28,Rutgers,34,Ohio,31,true,true
2025-08-28,Delaware,35,Delaware State,17,true,false
2025-08-28,UCF,17,Jacksonville State,10,true,true
2025-08-28,NC State,24,East Carolina,17,true,true
2025-08-28,Akron,0,Wyoming,10,true,true
2025-08-28,UL Monroe,29,Saint Francis,0,true,false
2025-08-28,Duke,45,Elon,17,true,false
2025-08-28,Oklahoma State,27,UT Martin,7,true,false
2025-08-28,Missouri,61,Central Arkansas,6,true,false
2025-08-29,Houston,27,Stephen F. Austin,0,true,false
2025-08-29,Minnesota,23,Buffalo,10,true,true
2025-08-29,UAB,52,Alabama State,42,true,false
2025-08-29,Wisconsin,17,Miami (OH),0,true,true
2025-08-29,Cincinnati,17,Nebraska,20,true,true
2025-08-29,San Diego State,42,Stony Brook,0,true,false
2025-08-29,Army,27,Tarleton State,30,true,false
2025-08-29,Wake Forest,10,Kennesaw State,9,true,true
2025-08-29,Charlotte,11,App State,34,true,true
2025-08-29,Michigan State,23,Western Michigan,6,true,true
2025-08-29,Florida International,42,Bethune-Cookman,9,true,false
2025-08-29,Illinois,52,Western Illinois,3,true,false
2025-08-29,Kansas,46,Wagner,7,true,false
2025-08-30,Baylor,24,Auburn,38,true,true
2025-08-30,Colorado,20,Georgia Tech,27,true,true
2025-08-30,Sam Houston,21,UNLV,38,true,true
2025-08-30,San José State,14,Central Michigan,16,true,true
2025-08-30,Navy,52,VMI,7,true,false
2025-08-30,Southern Miss,17,Mississippi State,34,true,true
2025-08-30,Tennessee,45,Syracuse,26,true,true
2025-08-30,Kent State,21,Merrimack,17,true,false
2025-08-30,Pittsburgh,61,Duquesne,9,true,false
2025-08-30,Tulane,23,Northwestern,3,true,true
2025-08-30,Ohio State,14,Texas,7,true,true
2025-08-30,Purdue,31,Ball State,0,true,true
2025-08-30,Maryland,39,Florida Atlantic,7,true,true
2025-08-30,Kentucky,24,Toledo,16,true,true
2025-08-30,Boston College,66,Fordham,10,true,false
